  249.3205080757 -130.9807621135   65.0000000000
  236.8205080757 -109.3301270189   65.0000000000
  236.8205080757 -109.3301270189   55.0000000000
  249.3205080757 -130.9807621135   55.0000000000

  249.3205080757 -130.9807621135   65.0000000000
  224.3205080757 -130.9807621135   65.0000000000
  224.3205080757 -130.9807621135   55.0000000000
  249.3205080757 -130.9807621135   55.0000000000

  249.3205080757 -130.9807621135   65.0000000000
  236.8205080757 -152.6313972081   65.0000000000
  236.8205080757 -152.6313972081   55.0000000000
  249.3205080757 -130.9807621135   55.0000000000

  249.3205080757 -130.9807621135   65.0000000000
  261.8205080757 -152.6313972081   65.0000000000
  261.8205080757 -152.6313972081   55.0000000000
  249.3205080757 -130.9807621135   55.0000000000

  249.3205080757 -130.9807621135   65.0000000000
  274.3205080757 -130.9807621135   65.0000000000
  274.3205080757 -130.9807621135   55.0000000000
  249.3205080757 -130.9807621135   55.0000000000

  249.3205080757 -130.9807621135   65.0000000000
  261.8205080757 -109.3301270189   65.0000000000
  261.8205080757 -109.3301270189   55.0000000000
  249.3205080757 -130.9807621135   55.0000000000

  249.3205080757 -130.9807621135   65.0000000000
  236.8205080757 -109.3301270189   65.0000000000
  236.8205080757 -109.3301270189   55.0000000000
  249.3205080757 -130.9807621135   55.0000000000

